Identifiant;target
18702;0
3877;1
4942;0
13428;0
17137;0
7580;1
11501;0
9102;0
11999;0
9772;0
8043;0
19571;0
5907;0
7226;0
10850;0
6189;0
5214;0
1887;1
14852;0
12901;0
18277;0
9210;0
16368;0
17910;1
14025;0
17944;0
6127;0
14116;0
12668;0
12161;0
13018;0
15928;1
8501;1
18659;0
18030;1
10352;0
7036;0
4607;0
502;0
19725;0
13325;0
15867;0
15969;1
5842;0
11886;0
18816;1
14074;0
13577;0
7584;0
6168;0
14349;0
17360;0
19922;0
16428;0
7607;0
4536;0
10707;0
9744;0
7699;0
15896;0
2490;1
2671;1
1322;0
11545;0
10686;0
8476;0
15816;1
1903;1
6296;0
2799;1
14504;0
15941;0
14284;0
13446;0
12758;0
16735;1
6458;0
10098;0
11296;0
10770;0
17520;0
2056;1
2586;0
4296;0
13271;0
70;1
6897;0
10973;0
4187;1
11901;1
15222;0
11119;0
2593;0
10177;0
11743;0
16045;0
10116;0
3805;1
19077;0
15833;1
16085;1
13470;0
4878;0
13093;0
792;0
7480;1
13622;0
19090;0
7301;0
10781;0
760;0
11415;0
13130;0
19561;1
9960;1
7601;0
15282;0
17796;0
7677;0
10147;0
106;0
7873;0
5558;1
18463;1
18695;0
16147;0
9798;1
6261;0
267;0
15429;0
6964;0
15368;0
6908;0
12975;0
3901;0
780;0
5435;0
11689;0
4622;0
11097;1
9008;1
11144;0
11987;0
9799;1
2619;1
940;0
7516;0
8923;0
9406;0
4631;0
1063;0
18903;0
5865;0
15562;0
4142;0
8379;0
18315;0
3644;0
8750;0
7038;0
17752;0
17052;0
13257;0
15873;0
7136;0
18926;0
5348;1
18008;0
1431;1
13525;0
19002;1
5159;0
16524;0
4214;0
6953;0
19010;0
14543;0
12617;0
5588;0
16835;0
8518;0
9020;0
16408;0
18355;1
7553;0
13800;0
18518;0
6878;0
13907;1
2371;0
16411;0
18264;0
15989;0
10833;0
15602;0
19257;0
1290;0
15731;1
3297;0
16958;0
1533;0
8391;0
14258;0
16342;0
4842;0
4446;0
6887;1
6525;0
455;0
8580;1
5167;1
2209;1
18940;1
17832;1
19427;1
5400;0
2282;0
13932;0
9962;0
7824;0
9584;0
2756;1
5042;1
7264;1
3826;0
3827;0
7041;0
11135;0
17812;0
15870;0
18493;0
9693;1
8684;0
8628;0
1510;0
815;0
13942;0
6302;0
6938;0
14872;0
12418;1
5356;1
8523;0
11519;0
5487;0
11762;0
15860;0
17975;0
14015;0
16676;0
6936;0
12176;1
8468;0
18989;0
10629;0
10052;0
368;0
16695;0
8069;0
13686;0
2775;0
13465;0
12938;1
9384;0
18938;0
17221;0
10054;0
681;0
15760;0
16980;1
5141;1
1351;0
15771;0
17572;1
319;1
3272;0
8706;0
17002;0
2560;0
16925;1
15909;0
3864;1
4286;0
1034;0
11557;1
9543;0
7976;0
18931;0
13682;1
5246;0
1808;1
16196;0
259;1
13864;0
217;0
17126;0
15799;0
9246;0
17773;0
8086;0
7222;1
189;0
8573;0
803;0
158;0
8737;0
216;0
10859;0
10066;0
8703;0
18874;1
18762;0
12060;1
11512;0
13217;1
13881;0
8472;1
4389;0
12576;0
4261;0
7812;1
13370;0
3673;0
14006;0
18320;0
14288;0
8650;0
11163;0
4433;0
11536;0
4137;0
11716;0
12786;0
4653;0
9651;0
6295;1
12142;0
15213;0
5882;0
5039;0
17329;0
7237;0
6481;0
13719;0
1160;0
13603;0
7352;0
7575;0
11490;0
4822;0
18975;0
19442;0
19164;0
8600;0
15510;0
9162;0
2524;0
15266;1
2656;0
6841;0
310;0
18797;0
2800;1
15472;1
18577;0
3588;0
15600;0
11651;1
12006;1
18146;0
5802;0
19960;0
12621;0
5902;0
10355;0
17670;1
3100;0
6476;0
8312;1
14192;0
12439;1
3739;1
17544;0
8633;0
13816;0
15408;0
1660;0
12236;0
8230;1
16162;0
1460;0
7993;0
13119;0
563;0
119;0
627;0
4680;1
11942;0
18263;0
17577;1
9473;1
11948;0
3921;0
4336;0
17379;0
13687;1
1416;0
3832;0
16712;0
10332;0
3745;0
1301;0
1577;0
17833;1
743;0
8692;0
7110;0
4993;0
8581;0
13994;0
10393;1
8105;0
4155;0
17169;0
4152;0
13445;0
10902;0
16615;0
13690;0
10750;0
10840;0
1219;0
11284;0
12051;0
8572;0
5686;1
4477;0
6852;0
8951;0
870;0
11509;1
2539;0
835;1
19143;0
19931;1
938;0
7615;0
15158;0
11150;0
18486;0
10187;1
6827;0
1067;1
18027;1
10022;0
4172;0
3291;0
8315;1
13131;0
16438;1
6447;0
18018;0
17939;1
2478;0
5476;0
14908;1
12934;0
5499;0
8000;0
17197;0
2317;0
4998;0
1335;1
12718;0
9906;0
18707;0
6151;0
5744;0
817;0
10878;0
8620;0
5958;1
5768;0
11250;0
1265;0
2157;0
4711;0
16721;0
12920;0
19174;0
14540;0
14814;0
18794;0
15376;0
8075;0
15152;1
1634;0
10145;0
3963;0
18991;1
7985;0
4963;0
18389;1
1341;0
8079;0
7210;0
13009;0
12061;1
16452;0
5173;0
6130;0
4208;0
11566;0
15872;0
2514;0
8836;0
16934;0
8219;0
2292;0
3639;1
8145;0
4243;0
7660;1
13467;0
18776;1
14302;0
17985;0
6785;1
11541;0
6699;0
17756;0
11532;0
10463;1
7765;1
1298;0
18305;1
19902;0
958;1
18159;0
18909;0
42;0
10870;1
14936;0
17021;0
2823;1
18648;0
321;0
2142;0
9270;1
13359;1
10566;0
16067;0
8025;0
11014;0
9601;0
1771;0
14784;0
5824;0
481;0
15056;0
11166;0
7762;0
14508;0
16436;0
19764;0
17514;1
14603;1
18433;0
18576;0
6383;0
10506;0
11030;0
2639;0
6034;0
7781;1
13368;0
7440;0
9050;0
13210;0
8678;0
9839;0
14803;0
3263;0
9180;0
15774;0
8221;0
12343;0
8297;0
8654;0
18241;0
399;0
18584;1
6913;0
15109;1
1167;0
12553;0
17489;0
16232;0
709;0
1096;0
17333;1
7334;0
17655;0
14613;1
10985;0
14735;0
1816;0
9624;0
15294;0
1610;0
11894;1
3875;1
13749;1
17829;0
13189;1
1035;0
2222;1
13029;0
9310;1
2727;1
5256;0
8305;0
10031;0
16631;0
19405;1
16840;0
11726;0
12577;0
6318;1
6231;0
6690;1
18515;0
13204;0
16121;0
7597;0
3616;0
11996;0
5284;1
18280;0
16768;1
12908;0
4273;0
16788;0
557;0
18134;0
15441;1
16464;0
10849;1
13081;0
19105;0
17302;0
10353;0
10908;0
16150;0
4104;0
2492;0
14002;0
17744;0
12537;0
17357;1
16248;0
4227;0
13936;1
13854;0
8994;1
3692;1
4831;0
5245;0
14747;0
7630;0
7809;0
4843;0
16879;0
12217;1
17188;0
8377;0
7327;0
1944;0
19141;0
11708;1
6846;0
16461;1
6401;0
7624;1
6134;0
18359;0
710;0
4231;0
7504;0
5111;0
13079;0
16992;1
8241;0
18698;0
7028;0
16568;1
7521;0
18692;1
10342;1
18203;0
2402;0
6966;0
2394;0
13096;0
2525;0
13663;0
9725;1
15313;0
19089;1
343;0
19759;0
6607;1
6178;0
16567;0
16957;0
2882;1
5875;0
9650;0
7256;0
5100;0
18953;1
18137;0
18198;1
12316;0
15674;0
13736;1
17015;0
8622;0
14583;0
686;0
3301;0
15379;0
8249;0
16087;0
1597;0
3019;0
14841;0
109;1
13741;0
11760;0
16943;0
6230;0
10678;0
1386;0
16689;0
11896;0
6906;1
7789;0
3633;0
19875;0
3403;0
9039;0
18578;0
13773;0
4596;0
8421;1
14602;0
14796;0
1148;0
9700;0
8651;0
3621;0
1759;1
4050;0
13626;1
11663;0
4748;0
16012;0
7145;1
13545;1
6273;1
7507;1
14450;0
19813;0
10290;0
6145;0
11387;0
18122;1
10930;0
7795;0
11615;0
13620;0
10013;0
711;0
13522;0
1012;0
15818;0
15981;0
8595;1
12914;0
7468;0
9258;1
11652;1
2753;0
17410;1
5556;1
9723;0
3218;1
6009;0
436;1
16690;1
3569;0
2154;1
2422;0
2051;1
11994;0
18737;0
12745;1
11370;0
7068;0
4991;0
17834;1
9301;0
4190;1
3672;0
10911;1
6394;1
6532;0
4413;1
3274;0
10820;0
2791;0
16537;0
4298;0
13546;0
547;1
1184;0
18351;1
10749;1
17663;0
3593;0
2898;0
16231;0
7854;0
3711;0
17163;0
7696;1
14860;0
16467;0
15295;1
6146;1
10128;0
14794;0
2568;0
17751;0
5739;0
12112;1
12178;0
8710;0
13714;0
12654;0
7646;1
17661;1
10381;0
19354;1
10944;1
1544;0
7031;0
17022;0
3358;0
13871;0
3645;0
4588;0
6959;0
1932;0
16105;0
10625;0
9877;0
12102;1
6171;0
18810;0
18554;0
2359;0
10306;0
11115;0
15795;0
12904;0
17764;0
3033;0
17556;0
2242;0
10138;1
18045;0
3941;0
12358;0
4031;0
396;0
14695;0
3283;0
7697;0
17445;0
7689;0
3056;0
15027;0
13251;0
1196;0
4036;0
15168;0
7027;0
4067;0
18746;1
8652;0
14159;0
15702;1
5579;1
15750;0
9278;0
5280;1
15613;0
3124;1
17957;0
1015;0
8261;0
6728;1
11435;0
10766;0
6087;0
5148;0
8908;0
9110;0
1888;1
17070;0
7493;0
1708;0
19794;0
4100;0
2673;0
4522;1
11688;0
12555;0
4735;0
12388;0
1311;0
8318;0
13303;0
429;0
16776;0
13501;0
14846;0
1491;0
3564;0
10582;0
9806;0
14282;1
18672;0
9866;0
5524;0
14359;1
122;0
15772;0
1056;0
5954;0
4088;0
3792;0
17485;0
9179;0
16787;0
18817;0
9079;0
16987;0
9602;1
8202;0
5995;0
17388;1
6298;0
3035;0
15088;0
11915;0
1772;0
13575;1
11554;0
3850;0
18210;0
10813;1
12209;0
10895;1
9546;1
5956;0
8323;1
273;0
17837;0
14211;0
6267;0
4895;0
7159;1
3503;1
12457;0
13997;0
5130;0
5089;0
18185;0
19441;0
5209;0
864;1
5984;0
7961;0
10033;0
18831;0
16734;0
1921;1
5048;0
19221;0
3610;0
9790;0
799;0
14556;1
12413;1
15834;0
13580;0
15587;1
13726;1
9922;0
11378;1
6566;0
90;0
11562;0
18673;0
15412;0
8532;0
13918;1
11436;0
12660;0
941;0
17338;0
7484;0
8754;0
6647;0
11242;1
10159;0
18872;0
16816;0
6512;0
13057;0
8988;0
8012;0
17181;0
3189;0
7980;0
18854;0
9760;1
676;0
11096;0
8384;0
17913;0
14918;0
5976;0
3251;0
6472;0
11761;0
4500;0
8415;0
17486;0
19371;0
13698;0
10651;0
1774;1
5150;1
18825;0
6759;0
3802;0
17819;0
2140;0
15935;0
10942;0
14323;0
17599;1
2703;0
15467;0
18313;0
6218;0
18306;1
8938;0
8930;1
9759;1
8034;1
16812;0
5772;0
18117;0
9332;1
10679;0
14236;0
7661;0
13233;0
9243;0
19181;0
7984;0
3081;1
18145;0
16093;0
15830;0
8326;0
15738;0
10935;0
10000;0
7267;0
8163;0
4695;1
1412;0
9451;0
6722;0
2786;0
10133;0
8437;0
8763;0
885;0
5545;1
17704;0
7691;1
199;0
14678;0
5838;0
8461;0
4708;0
7339;0
7671;1
18171;1
2275;1
5985;0
4889;0
379;1
11319;0
14379;0
14495;1
16995;0
18921;0
10349;0
15903;0
6474;0
11450;0
6992;1
5231;0
5090;0
3396;0
11643;0
1499;0
7236;0
1941;1
15622;0
2080;1
13861;0
11077;0
14019;0
6663;0
10624;1
14925;1
8551;0
15392;0
18455;1
4156;0
16638;1
10358;1
9741;0
4790;0
14586;0
9646;0
7863;0
17523;0
10047;0
15505;0
4838;1
11331;0
5339;1
11089;0
14626;1
1807;0
1945;0
7374;0
6353;0
11121;1
19737;0
17954;0
23;0
9616;0
7135;0
7847;0
16590;1
7912;0
7501;1
13051;0
728;0
10528;0
15683;0
4287;0
6197;1
14941;0
11607;0
3306;1
18126;1
2494;0
4934;0
971;0
7457;0
5933;0
2610;0
18123;1
3204;0
1029;0
16160;0
19400;0
6335;1
11824;1
7040;0
8245;0
14414;1
17206;0
6507;0
15124;0
10082;0
8440;1
2912;0
2028;0
5440;0
18967;0
16172;0
7687;1
15192;0
232;0
10889;0
11054;1
15148;1
125;0
6110;0
11675;0
18103;1
18078;0
4959;0
7473;0
3444;0
11639;0
361;0
1289;0
2111;0
6583;0
9671;1
8529;1
6365;0
13623;0
17590;0
608;0
12731;0
11174;0
6347;0
18620;0
2638;0
2859;0
9178;0
18681;0
15260;1
2274;0
3894;0
7958;0
4423;0
8199;0
9833;0
6671;0
2479;0
16017;1
6816;0
16685;0
4276;0
8302;1
13866;0
2276;0
2398;0
16786;1
17999;0
18005;0
4120;0
4610;0
15718;0
9680;0
16940;1
8475;0
11488;0
9921;0
4611;0
15072;0
11228;0
3346;0
2657;0
5765;0
18860;1
3292;0
11993;0
3995;0
8840;0
10789;0
11712;0
11369;0
9161;1
15949;1
18141;0
13738;1
2164;1
6371;0
2234;0
3227;1
1441;1
8045;0
410;0
8186;1
360;0
15390;1
18032;1
3298;0
16672;0
15854;1
13759;0
19334;0
1870;0
14487;1
8874;1
500;0
18880;0
17732;1
13098;0
2561;0
18084;1
18795;1
397;0
18220;1
5659;0
12681;0
10141;0
12300;1
13616;0
14861;1
7620;0
12907;0
18818;0
6188;1
12586;0
10818;1
3094;0
5533;1
16930;0
14396;0
4720;0
11949;0
19774;0
2946;0
6803;0
13265;0
2891;0
5199;0
10449;0
9974;0
18850;0
17018;0
16556;0
11339;0
14521;0
5309;1
8675;0
18;1
8852;1
9783;0
10107;1
4135;0
10739;0
14023;0
18525;0
14167;0
11254;0
10188;1
17268;0
13872;1
13515;0
19244;0
6055;0
18472;1
12575;0
748;1
17585;1
6375;0
12734;1
9445;0
1686;0
13095;0
1763;0
1438;0
13005;0
12704;1
6042;1
5147;1
18919;0
9149;0
8592;0
9777;1
1450;0
6727;1
3463;1
19101;0
3262;1
9502;0
7455;0
7438;0
10028;0
11221;0
4974;0
18891;0
1639;0
17614;1
18591;0
10955;0
15283;0
4559;0
15544;0
15840;1
16404;0
2954;1
5657;1
9114;0
3249;0
10058;0
8008;0
15920;1
4191;0
4534;0
8253;0
3325;0
19690;1
15862;0
17267;1
14806;0
14017;0
17050;0
15287;1
1141;1
2042;0
15036;0
7305;1
15806;1
17772;0
10429;0
7192;1
839;1
3719;0
15025;0
2516;0
13426;0
4051;0
15752;0
536;0
4549;0
12174;0
1611;1
17543;1
7868;0
1310;1
14620;0
5801;0
4331;0
10851;0
16707;0
945;0
17745;0
7414;1
6264;0
7559;0
4556;0
7821;0
11364;1
11810;0
4857;0
10677;0
2304;0
1545;0
1942;1
8786;0
13748;0
9628;0
12714;1
14736;0
3752;0
14909;0
570;0
4480;0
3361;0
16714;0
495;0
2595;0
16880;1
17685;1
1902;0
18207;0
19033;1
5341;0
2611;1
15644;0
16994;1
18230;0
16351;0
7785;1
11279;1
5667;0
11431;0
15176;0
5081;0
10403;0
15457;0
10976;0
17765;1
17067;0
9143;0
19557;0
2536;0
10369;0
13092;0
11248;0
17530;0
17932;1
10156;0
3922;0
9441;0
18499;0
2004;0
13766;1
17998;0
14500;0
18019;0
1422;1
7395;0
13960;0
6895;0
9505;1
8932;1
15051;0
17374;0
8195;0
5964;1
14550;1
6359;0
13302;0
15605;0
3717;0
16407;0
19028;1
10254;0
7522;0
8329;0
14673;0
10003;0
3888;0
840;0
9784;0
79;1
9882;0
7908;1
19320;0
4129;0
6256;0
10649;0
5072;0
4973;1
7950;0
12848;0
11168;1
16449;1
11018;0
6334;1
7973;0
8355;0
3686;1
2701;0
6872;0
6222;0
16871;0
17849;0
16283;0
6729;0
5554;0
19122;0
3356;0
16010;0
16512;0
8716;0
6317;0
13938;0
3687;0
5577;0
3206;1
1509;0
8013;0
951;1
8237;0
4012;0
18046;0
8101;0
18586;1
2744;0
966;0
6875;0
15827;0
19909;1
19795;0
9604;0
1891;0
9704;0
8842;0
5923;0
16135;1
15905;0
18274;0
13519;0
18513;0
7181;0
14791;0
11313;1
8559;0
13758;0
1994;0
12723;0
17800;0
12815;1
12242;0
14728;0
1329;0
1296;0
270;0
10821;0
1700;0
16828;0
349;0
11685;0
2732;0
9722;0
8506;1
9949;0
14428;0
8271;0
3029;1
9130;0
12003;1
15754;0
15722;1
9781;0
8542;0
12262;0
11341;0
862;0
15986;1
8507;1
12601;1
15094;1
18284;0
15417;0
13789;0
13498;0
3096;1
15289;0
16951;1
14851;0
17274;0
9094;1
17753;1
6715;0
14727;0
7753;0
9370;0
8204;1
11143;0
18588;0
5715;0
16694;0
7012;0
14062;0
19903;0
13723;1
16249;0
6971;0
3923;0
19628;1
19426;0
12568;0
5934;0
3474;1
9805;0
19057;0
7599;0
9996;0
11321;0
4087;0
8682;0
14614;0
9328;0
19305;0
12599;1
6223;0
12414;0
18095;0
1614;1
13883;0
4538;0
3271;0
8211;1
4001;0
5872;0
2286;1
19869;0
18272;0
8921;0
15560;0
7566;0
7394;0
14162;1
14065;0
6453;0
605;0
17571;0
1584;0
8005;0
4341;0
3665;0
17587;1
357;0
16390;0
461;0
9220;0
13457;1
4989;1
14342;0
8177;0
302;0
13489;0
9400;0
19939;0
7091;1
13656;1
17750;0
9269;1
289;1
9738;0
3161;0
12384;0
1802;1
10577;0
2951;1
13184;0
9382;0
4041;0
7512;0
16498;0
10231;1
11603;0
6627;0
9786;1
10655;0
6702;0
15747;0
19300;0
3770;0
16829;1
1130;0
12486;0
7445;0
1590;0
4587;0
17170;0
1682;0
15046;1
16148;0
19040;1
17350;0
17345;1
11814;1
9726;1
1224;0
7741;0
16518;0
17250;0
14510;0
439;0
18364;0
14449;0
7936;0
853;0
17107;1
19271;0
17630;1
18567;0
19950;0
14744;0
1047;0
12720;0
16859;1
1119;0
17291;1
17557;1
5906;0
15336;0
18262;1
513;0
16547;1
16336;0
4486;0
17478;0
8527;1
2504;1
18545;1
16339;0
5206;0
8855;0
8214;0
18292;0
8244;1
16242;1
19786;0
13176;0
18479;0
6589;0
16430;0
10151;0
7764;1
19318;0
4985;0
10698;0
6332;0
10954;0
12999;0
15897;1
795;0
11327;0
8092;0
5363;0
19418;0
6444;0
9563;0
15713;0
15435;0
16781;0
1737;0
7408;0
7690;0
7298;0
9732;0
12148;0
8488;0
18660;0
12062;0
15438;0
16066;0
5018;0
4977;0
18480;1
6393;0
7964;0
14134;0
819;0
9998;1
3652;1
15018;0
19484;0
7169;0
4175;0
4362;0
16699;0
5602;0
9556;0
3974;1
18221;0
11235;0
18580;0
1078;1
18098;0
10579;0
8246;0
7443;0
10097;0
8885;0
15231;1
17028;0
1641;1
17672;1
9381;0
5557;1
14497;0
1908;0
6950;0
18614;0
7225;0
6651;0
16898;0
2062;0
15191;0
6737;0
3893;0
10027;1
12800;0
10053;0
15906;0
5817;0
4335;0
5026;0
10094;0
2243;0
17861;0
9802;0
6439;1
3069;1
11674;0
16009;0
18258;0
8295;0
1810;0
9579;0
1354;0
5782;0
16624;1
5047;0
1904;1
10293;0
3811;1
16789;1
4817;0
1139;0
19885;1
9100;0
8364;1
15221;0
9119;0
15492;0
8019;0
17016;1
3053;0
5818;0
6567;1
8883;0
6536;0
14878;1
16751;0
2206;0
7295;0
9375;1
6345;0
9255;0
6456;0
18411;1
2443;0
2600;0
19659;0
10777;0
11888;0
5065;0
16926;0
14009;0
889;0
19474;0
10059;0
10326;0
10760;0
8725;0
2046;0
18663;1
4149;0
17537;0
19724;0
3838;0
5527;0
14552;0
3113;0
4697;0
12196;1
8174;0
17808;0
6714;0
8884;0
6547;1
8370;1
19035;1
276;0
17675;1
17414;0
13926;0
14699;0
19025;0
15625;0
324;0
6486;0
3303;0
1664;0
19322;0
4491;0
6430;1
8733;0
9818;0
17919;0
14139;0
6503;0
17742;0
4002;0
13383;0
265;0
6126;0
356;0
12995;0
4400;0
5903;1
3979;0
7058;0
17734;0
4519;0
12238;1
9972;0
12872;0
7096;1
19340;0
8887;0
2296;0
4751;0
18552;0
3316;0
4355;1
9430;0
1021;1
10356;0
9109;0
10009;1
4210;0
12818;0
10001;0
6884;0
19991;0
1008;0
5340;0
19278;0
9683;0
4813;0
17912;0
9876;0
17372;0
11614;0
6083;1
18662;0
969;1
6460;1
4699;0
16330;0
9959;1
3762;0
15406;0
18615;0
17317;0
18070;0
6328;0
6688;0
7239;0
6957;1
38;0
12569;0
11255;0
19007;1
8414;0
5436;0
8093;0
16175;1
17148;0
16955;0
14066;1
11295;0
8129;0
9090;0
12641;0
17382;0
16752;0
1527;0
10375;0
8401;1
1072;0
6165;0
2377;0
18998;0
11249;0
1529;0
6050;0
17788;0
8926;1
9787;1
3721;0
8661;0
13902;1
12134;0
134;0
10073;0
11932;0
13443;0
902;0
7365;0
17616;0
417;0
8465;0
14007;0
8373;0
3971;0
14748;0
8911;1
1632;0
13427;0
17280;0
14213;0
5316;0
17298;0
8307;0
2609;0
5417;0
4661;0
16739;0
4103;0
8674;0
10523;0
5763;0
7900;0
2570;0
15745;0
8413;0
2418;0
13149;0
4485;1
6579;0
2362;0
16821;0
17155;0
7837;0
18634;0
9359;0
18432;0
9691;1
13394;0
16275;0
10111;0
17889;1
3360;0
5265;1
9274;0
17083;1
15198;1
215;0
1622;1
19247;0
4353;0
13899;0
16291;0
13916;1
14754;0
9096;0
12906;0
13873;1
16899;0
3839;0
1928;0
1318;1
1929;0
12152;0
1339;0
8835;1
13963;0
5504;1
2363;0
5030;0
9675;0
5495;0
2411;1
11269;0
16502;0
8985;0
17535;0
19308;0
12237;0
9076;0
11478;0
4366;1
18676;0
10055;0
8456;0
7398;0
15393;0
17589;0
15877;0
11980;0
1946;1
7191;1
11794;0
2014;1
8624;0
12710;0
17509;0
5915;1
8548;1
11768;0
14531;1
2366;1
7968;0
13801;0
9575;0
6316;0
16165;1
11550;1
10603;0
4010;0
16790;0
12197;0
9780;0
12053;1
14859;0
6575;0
9145;0
7581;1
8380;1
18995;0
5963;0
14173;0
17031;0
12362;0
16546;0
2990;0
7190;0
8263;0
171;0
14856;0
1245;0
2709;0
11476;0
15370;0
797;1
10125;0
9409;0
12015;0
14073;0
18708;1
9861;0
6277;0
12155;1
6376;0
7782;0
18601;0
17176;0
9531;0
2205;0
4235;0
18356;0
3600;0
18884;0
4079;0
16170;1
19452;1
7751;0
11191;0
6155;0
7759;0
14108;0
13681;1
3230;0
1374;0
12659;0
8900;0
1633;0
4013;0
5841;0
12844;0
4849;0
10640;0
2124;0
6509;0
13781;0
8634;0
19191;0
30;0
5354;0
15288;1
15632;0
1701;0
5935;0
822;0
6916;0
6255;0
15536;0
9881;0
17783;0
6711;0
17373;0
13755;0
4800;0
16260;1
13338;0
3812;1
9265;1
16204;1
4772;1
5538;0
5368;0
11622;1
8851;1
11184;0
16658;0
19989;1
4581;0
18054;0
1494;0
15054;0
9405;0
15970;0
20;0
6904;0
18902;0
8604;0
9468;1
15004;1
14983;0
6637;0
17611;0
17677;1
3772;0
8541;0
19414;1
9678;1
17627;0
16223;0
19151;1
9209;0
19245;0
3932;0
8091;0
11547;0
10085;0
13080;0
7272;0
11513;1
959;0
6214;0
7245;0
10975;0
18435;1
3798;1
18180;0
15445;0
4752;0
19553;0
11340;1
8844;0
15942;0
14346;0
7604;0
6781;1
4926;0
7735;1
485;0
10464;0
15908;0
1088;0
2797;0
4399;0
11679;0
6166;1
12850;1
16174;1
4334;0
8381;0
7850;0
9807;0
17981;0
3680;0
352;0
5729;0
8331;0
12526;0
10951;0
11165;0
4746;0
4599;0
8641;0
4825;0
12678;1
403;0
4851;1
7059;1
5060;0
12622;0
17058;0
4158;0
4313;0
907;0
3076;0
14300;0
943;0
8385;0
15042;0
2783;0
17887;0
13435;0
11214;0
9840;0
9607;1
19689;0
13695;0
19519;0
4299;0
12086;0
17086;0
5242;0
10719;0
18388;1
4756;0
19888;0
18528;0
7195;0
6963;0
4340;0
19900;0
16601;0
10842;1
8300;0
206;1
19853;0
2181;0
12059;1
18819;0
14557;0
13103;0
14774;0
15086;0
4513;1
5668;0
18219;0
10663;0
15453;1
7680;0
11155;0
13597;1
14960;0
4312;0
18104;0
6280;0
18383;0
5423;0
7913;0
2718;0
2279;0
13589;0
11093;1
9665;1
588;1
15698;0
15716;0
15869;0
14907;0
11918;0
3320;1
551;1
10120;0
17311;0
6406;0
4564;0
7531;0
5129;0
19461;0
16851;0
19552;0
3847;1
11850;0
6800;1
2749;0
16241;1
17925;0
17271;0
7831;1
4803;0
17838;0
5937;0
4821;1
4834;0
1989;0
12121;0
12454;0
5275;0
821;1
5987;0
16571;1
3010;1
15786;0
10176;0
15322;0
7648;0
15278;0
10011;0
15483;0
10419;0
12579;0
17871;1
17898;0
16090;1
13599;1
243;0
13739;0
8061;0
5189;0
7992;1
3543;0
4742;1
16538;0
11308;0
5276;0
8162;0
16967;1
10768;0
9870;0
17330;1
10229;0
10341;1
12751;0
5727;0
968;1
5069;0
14072;0
12345;0
16653;0
9063;1
16918;0
10266;0
8834;1
3485;0
12940;0
5514;1
4151;0
10918;0
15954;0
13083;0
